life_expectancy,adult_mortality,infant_deaths,alcohol,hepatitis_b,measles,bmi,polio,total_expenditure,diphtheria,hiv_aids,gdp,population,thinness_1_19_years,schooling
65,263,62,0.01,65,1154,19.1,6,8.16,65,0.1,584.25921,33736494,17.2,10.1
59.9,271,64,0.01,62,492,18.6,58,8.18,62,0.1,612.696514,327582,17.5,10
59.9,268,66,0.01,64,430,18.1,62,8.13,64,0.1,631.744976,31731688,17.7,9.9
59.5,272,69,0.01,67,2787,17.6,67,8.52,67,0.1,669.959,3696958,17.9,9.8
59.2,275,71,0.01,68,3013,17.2,68,7.87,68,0.1,63.537231,2978599,18.2,9.5
58.8,279,74,0.01,66,1989,16.7,66,9.2,66,0.1,553.32894,2883167,18.4,9.2
58.6,281,77,0.01,63,2861,16.2,63,9.42,63,0.1,445.8932979,284331,18.6,8.9
58.1,287,80,0.03,64,1599,15.7,64,8.33,64,0.1,373.3611163,2729431,18.8,8.7
57.5,295,82,0.02,63,1141,15.2,63,6.73,63,0.1,369.835796,26616792,19,8.4
57.3,295,84,0.03,64,1990,14.7,58,7.43,58,0.1,272.56377,2589345,19.2,8.1
57.3,291,85,0.02,66,1296,14.2,58,8.7,58,0.1,25.2941299,257798,19.3,7.9
57,293,87,0.02,67,466,13.8,5,8.79,5,0.1,219.1413528,24118979,19.5,6.8
56.7,295,87,0.01,65,798,13.4,41,8.82,41,0.1,198.7285436,2364851,19.7,6.5
56.2,3,88,0.01,64,2486,13,36,7.76,36,0.1,187.84595,21979923,19.9,6.2
55.3,316,88,0.01,63,8762,12.6,35,7.8,33,0.1,117.49698,2966463,2.1,5.9
54.8,321,88,0.01,62,6532,12.2,24,8.2,24,0.1,114.56,293756,2.3,5.5
77.8,74,0,4.6,99,0,58,99,6,99,0.1,3954.22783,28873,1.2,14.2
77.5,8,0,4.51,98,0,57.2,98,5.88,98,0.1,4575.763787,288914,1.2,14.2
77.2,84,0,4.76,99,0,56.5,99,5.66,99,0.1,4414.72314,289592,1.3,14.2
76.9,86,0,5.14,99,9,55.8,99,5.59,99,0.1,4247.61438,2941,1.3,14.2
76.6,88,0,5.37,99,28,55.1,99,5.71,99,0.1,4437.17868,295195,1.4,13.3
76.2,91,1,5.28,99,10,54.3,99,5.34,99,0.1,494.358832,291321,1.4,12.5
